created_at,favorite_count,full_text,in_reply_to_screen_name,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
Tue Mar 26 07:48:08 +0000 2024,0,@paayye AHAHHAAH every komunitas marah marah needs komunitas ramah ramah,paayye,0,0,0,https://x.com/heloitsleea/status/1772530963483951562,2352984644,heloitsleea
Tue Mar 26 07:37:09 +0000 2024,0,komunitas orang marah marah bukan komunitas orang tolol tolol,,0,0,0,https://x.com/torugojoez/status/1772528200683573495,4229400013,torugojoez
Tue Mar 26 07:34:59 +0000 2024,1,Orang marah-marah di komunitas marah-marah dimarah-marahin sama orang-orang yang marah-marahin orang yang marah-marah di komunitas marah-marah.,,0,1,0,https://x.com/hendabg/status/1772527656430354596,"1,30319E+18",hendabg
Tue Mar 26 07:31:31 +0000 2024,1,suka banget sama komunitas ramah-ramah daripada komunitas marah marah darting mulu. nama doang komunitas marah marah tapi malah kek komunitas baku hantam because pada rujak merujak,,0,0,0,https://x.com/bmokku/status/1772526783750979881,"1,32583E+18",bmokku
Tue Mar 26 07:28:07 +0000 2024,1,Timeline gue random semenjak ikut komunitas marah-marah sama komunitas ramah tamah. Abis ada orang marah langsung lewat orang ngasih positif vibes. Balance,,0,0,0,https://x.com/drawerrr_/status/1772525925617353183,"1,4196E+18",drawerrr_
Tue Mar 26 07:23:06 +0000 2024,2,Kayaknya aku ditakdirkan masuk ke komunitas marah marah ga ada satu hari pun aku ga emosi di tempat magang ,,0,1,0,https://x.com/ThisisHanahisa_/status/1772524663698251796,"1,26077E+18",ThisisHanahisa_
Tue Mar 26 07:16:57 +0000 2024,0,kenapasi di komunitas marah marah banyak orang renyah banget ngomong kwontwol,,0,2,0,https://x.com/abudeomeo/status/1772523115895214214,"1,67617E+18",abudeomeo
Tue Mar 26 06:47:55 +0000 2024,0,@bluelockfess isagi spertinya msup komunitas marah marah juga,bluelockfess,0,0,0,https://x.com/heyizhuo/status/1772515808050098197,"1,34359E+18",heyizhuo
Tue Mar 26 06:37:24 +0000 2024,0,Komunitas marah marah yg bikin seungcheol,,0,0,0,https://x.com/sotomatee/status/1772513164154032451,"1,43916E+18",sotomatee
Tue Mar 26 06:35:50 +0000 2024,0,@tanyakanrl wkwk ada komunitas marah-marah dan ramah-ramah,tanyakanrl,0,0,0,https://x.com/katsucki_/status/1772512769356808688,3301538405,katsucki_
Tue Mar 26 06:19:55 +0000 2024,0,komunitas marah marah skrng banyak yg oot dah aneh,,0,0,0,https://x.com/jjxb9t/status/1772508762076549339,"1,46465E+18",jjxb9t
Tue Mar 26 06:19:51 +0000 2024,45,@bluelockfess Isagi 50:50 nder sama komunitas marah marah ,bluelockfess,0,0,0,https://x.com/jo_arabel/status/1772508745861337091,"1,52169E+18",jo_arabel
Tue Mar 26 06:12:37 +0000 2024,269,@bluelockfess Isagi di komunitas ramah-ramah pas dia lagi mode malewife niat hati mau join komunitas marah-marah buat misuhin Kaiser... Eh malah ketemu juga disono. Isagi: https://t.co/QFStDFNfJj,bluelockfess,0,0,11,https://x.com/fuwaaaika/status/1772506927118844255,"1,44786E+18",fuwaaaika
Tue Mar 26 06:04:56 +0000 2024,0,@illovellicky Kita bikin komunitas kangen ricky.. yuk!! Menggantikan komunitas marah-marah yang gaje itu!!!,illovellicky,0,1,0,https://x.com/lovelickychan/status/1772504991686971478,"1,63778E+18",lovelickychan
Tue Mar 26 06:01:25 +0000 2024,0,@Kelincisorehari Eh iya ini... Kan sempat rame yg komunitas ramah marah itu ya cuma aku pikir ga bakal lewat kalau g ikut komunitasnya. Tapi malah sempat lewat di tl Aneh ga jelas twitter setelah jadi X ,Kelincisorehari,0,1,0,https://x.com/samnotyou/status/1772504105828987323,"1,5448E+18",samnotyou
Tue Mar 26 05:56:08 +0000 2024,170,maknae line cravity (+woobin) : warga komunitas marah-marah https://t.co/DaSw0sfYkV,,15,4,52,https://x.com/calminhee/status/1772502779464163432,843300907,calminhee
Tue Mar 26 05:50:58 +0000 2024,164,@bluelockfess Isagi bakalan aktif di komunitas marah-marah kalau Kaiser gangguin dia ,bluelockfess,0,0,0,https://x.com/msbyoun/status/1772501477388329044,3112173846,msbyoun
Tue Mar 26 05:50:22 +0000 2024,0,@lealeesaa ini yg di komunitas marah-marah kemarin,lealeesaa,0,0,0,https://x.com/nihilisrealis/status/1772501327639368053,537234401,nihilisrealis
Tue Mar 26 05:47:01 +0000 2024,24,@bluelockfess Isagi juga aktif di komunitas marah marah deh nder,bluelockfess,0,0,0,https://x.com/your_nathy/status/1772500484135309747,4733476777,your_nathy
Tue Mar 26 05:39:47 +0000 2024,0,biar komunitas komunitas itu enggak muncul di tl gimana sih... kesel liat komunitas marah marah ,,0,0,0,https://x.com/lizeethan/status/1772498665099161787,"1,43543E+18",lizeethan
